Solution,SolutionSegment,ServiceOffering
BPI - Business Performance Improvement,Finance & Performance Mgmt,Accounting Shared Services
BPI - Business Performance Improvement,Finance & Performance Mgmt,Corporate Performance Mgmt
BPI - Business Performance Improvement,Finance & Performance Mgmt,Finance & Performance Mgmt - Other
BPI - Business Performance Improvement,Finance & Performance Mgmt,Finance Organization Strategy
BPI - Business Performance Improvement,Finance & Performance Mgmt,Finance Process Improvement
BPI - Business Performance Improvement,Financial Reporting Remediation & Compliance,A&R Research
BPI - Business Performance Improvement,Financial Reporting Remediation & Compliance,CECL
BPI - Business Performance Improvement,Financial Reporting Remediation & Compliance,Fin Reporting - Advisory SEC
BPI - Business Performance Improvement,Financial Reporting Remediation & Compliance,Fin Reporting - Restate & Recon
BPI - Business Performance Improvement,Financial Reporting Remediation & Compliance,Financial Reporting - Loan Staff
BPI - Business Performance Improvement,Operations Transformation & Improvement,Customer Experience
BPI - Business Performance Improvement,Operations Transformation & Improvement,Operational Excellence
BPI - Business Performance Improvement,Operations Transformation & Improvement,Payments
BPI - Business Performance Improvement,Operations Transformation & Improvement,Project Management
BPI - Business Performance Improvement,Operations Transformation & Improvement,Revenue Cycle
BPI - Business Performance Improvement,Supply Chain,Procure to Pay
BPI - Business Performance Improvement,Supply Chain,Procurement Transformation
BPI - Business Performance Improvement,Supply Chain,Supply Chain - Other
BPI - Business Performance Improvement,Supply Chain,Third-Party Risk Management
IAFA - Internal Audit & Financial Advisory,Fin Investigations,Financial Investigations
IAFA - Internal Audit & Financial Advisory,Fin Investigations,Fraud Risk Management
IAFA - Internal Audit & Financial Advisory,Business Process Audit,Compliance
IAFA - Internal Audit & Financial Advisory,Business Process Audit,Business Process Audit - Other
IAFA - Internal Audit & Financial Advisory,Business Process Audit,Operations
IAFA - Internal Audit & Financial Advisory,Business Process Audit,Financial
IAFA - Internal Audit & Financial Advisory,IT SOX & Controls,SOX/FC IT Initial Year
IAFA - Internal Audit & Financial Advisory,IT SOX & Controls,SOX/FC IT On-Going
IAFA - Internal Audit & Financial Advisory,Other Internal Audit,Audit Committee Advisory
IAFA - Internal Audit & Financial Advisory,Other Internal Audit,Financial Controls Improvement
IAFA - Internal Audit & Financial Advisory,Other Internal Audit,Quality Assessment - Full Scope
IAFA - Internal Audit & Financial Advisory,Other Internal Audit,Quality Assessment - Validation
IAFA - Internal Audit & Financial Advisory,Other Internal Audit,Audit Analytics
IAFA - Internal Audit & Financial Advisory,SOX & Financial Controls,Financial Controls Remediation & Other
IAFA - Internal Audit & Financial Advisory,SOX & Financial Controls,SOX/FC Initial Year
IAFA - Internal Audit & Financial Advisory,SOX & Financial Controls,SOX/FC On-Going
R&C - Risk & Compliance,Credit Risk,General Credit Services
R&C - Risk & Compliance,Credit Risk,Financial & Lender Due Diligence
R&C - Risk & Compliance,Enterprise Risk Management,Capital Management
R&C - Risk & Compliance,Enterprise Risk Management,ERM Services
TC - Technology Consulting,PSS,CRM Implementation
TC - Technology Consulting,PSS,Custom Development Services
TC - Technology Consulting,PSS,Enterprise Content Mgmt
TC - Technology Consulting,PSS,GRC Solution Implementation
TC - Technology Consulting,S&P,Digital Identity
TC - Technology Consulting,S&P,Data Security
TC - Technology Consulting,S&P,Cloud Security
TC - Technology Consulting,S&P,Security Operations
TC - Technology Consulting,S&P,PCI
TC - Technology Consulting,S&P,Security Program
TC - Technology Consulting,S&P,Privacy Mgmt
TC - Technology Consulting,TSO,Tech Govrnc & Risk Mgmt
TC - Technology Consulting,TSO,Tech Operations Mgmt
TC - Technology Consulting,TSO,Tech Strategy & Arch
